name,url,First appearance,Latest appearance,Occupation(s),Residence,Gender,Color,Eye color,Portrayer,Appearance,Classification,Spouse,Parents,Children
Eddie,https://spongebob.fandom.com/wiki/Awesome_Eddie,"""SpongeBob SquarePants vs. The Big One""","""Biddy Sitting""",Surfer,Pacific Ocean,Male,Olive green,Black,"['Dee Bradley Baker (""SpongeBob SquarePants vs. The Big One"")', 'Tom Kenny (""Bulletin Board"")']",,Fish,,,
Big G,https://spongebob.fandom.com/wiki/Big_G,"""SpongeBob SquarePants vs. The Big One""","""Biddy Sitting""",,,Male,Pale tan,,"['Clancy Brown (""SpongeBob SquarePants vs. The Big One"")', 'Bill Fagerbakke (""The Clam Whisperer"")']",,Fish,,,
Silent Stan,https://spongebob.fandom.com/wiki/Silent_Stan,"""SpongeBob SquarePants vs. The Big One""","""Abandon Twits""",,,Male,Mustard yellow,Black,,,Fish,,,
Twitch,https://spongebob.fandom.com/wiki/Twitch,"""SpongeBob SquarePants vs. The Big One""","""Abandon Twits""","['Surfer', 'Pet store owner']",The Remote Island,Male,Light green,Light yellow with black pupils,Mark Fite,,Fish,,,
Jack Kahuna Laguna,https://spongebob.fandom.com/wiki/Jack_Kahuna_Laguna,"""SpongeBob SquarePants vs. The Big One""",SpongeBob's Truth or Square,,,Male,Tan-orange,Black,Johnny Depp,,Humanoid fish,,,
Krabs family,https://spongebob.fandom.com/wiki/Krabs_family#Sally,"""Help Wanted""",,,,,,,,,,,,
The Big One,https://spongebob.fandom.com/wiki/The_Big_One,"""SpongeBob SquarePants vs. The Big One""",SpongeBob Freestyle Funnies 2018,,,Genderless,Blue,Dark blue,,,Wave,,,
Appraiser/Pawn Shop owner,https://spongebob.fandom.com/wiki/Appraiser_and_Pawn_Shop_owner,"""Porous Pockets""","""Hello Bikini Bottom!""","['Appraiser', 'Pawn Shop owner']","Bikini Bottom, Pacific Ocean",Male,Olive-green,Black,"['Dee Bradley Baker (""Porous Pockets"")', 'Rodger Bumpass (""Hello Bikini Bottom!"")']",,Fish,,,
Scallops and clams,https://spongebob.fandom.com/wiki/Scallops_and_clams,"""Help Wanted""","""Pet the Rock""",,,,,,,,,,,
Jeeves,https://spongebob.fandom.com/wiki/Jeeves,"""Porous Pockets""","""The Ballad of Filthy Muck""",Butler,"124 Conch Street, Bikini Bottom, Pacific Ocean (formerly)",Male,Aquamarine,Black,"Tom Kenny (""Porous Pockets"")",,Fish,,,
Patrick and Gary's family,https://spongebob.fandom.com/wiki/Patrick_and_Gary%27s_family,"""Help Wanted""",,,,,,,,,,,,
Steve,https://spongebob.fandom.com/wiki/Incidental_107,"""Valentine's Day""","['Saving Bikini Bottom: The Sandy Cheeks Movie (SpongeBob SquarePants)', '""A Patty in Time"" (The Patrick Star Show)']","['Cashier', 'Chef', 'Tanning lights operator', 'Sailor', 'Bellhop (Cashier 1)', 'Scythe salesman', 'Architect', 'Police officer', 'Lifeguard', 'Factory worker', 'Worker', 'Farmer', 'Photographer', 'Businessman (""BusinessFish"" variant)', 'Executive (""BusinessFish"" variant)', ""Music school headmistress's assistant"", 'Sky writer', 'Prison guard', 'Choir boy', 'Actor', 'Scoutmaster', 'Firefighter', 'Rock collector', 'Office job', 'Battle re-enactor', 'Red soldier', 'Driving instructor', 'Wrestling announcer (Driving instructor)', 'Referee', 'Pastor', 'Krusty Krab commercial crew member (formerly)', 'Cameraman', 'Ice cream man', 'Past president', 'Construction worker', 'Krusty Krab Stadium sewer control employee', 'Mailman', ""Towel boy at Larry's Gym"", 'Member of the Empty Head Society', 'CEO', 'Krusty Factory worker', 'Student', 'Marathon runner', 'Baker', 'Mechanic', 'Receptionist (Cashier 1)', 'Stair war solider']","['Bikini Bottom, Pacific Ocean', 'New Kelp City', 'Bikini Bottomshire', 'Dead Eye Gulch', 'Dullsville Senior Living, Dullsville', 'Cemetery']",Male,"['Light olive green', 'Brown', 'Light brown']",White with black pupils,"['Sirena Irwin (""Blackened Sponge"") (female)', 'Rodger Bumpass (""Welcome to the Bikini Bottom Triangle"" and ""Code Yellow"")', 'John Gegenhuber (""The Ballad of Filthy Muck"")Hidden content']",,Salmonidae,,,
Jim,https://spongebob.fandom.com/wiki/Champ_1,"""Krusty Krushers""","['""Say Awww!"" (SpongeBob SquarePants)', '""Big Baby Patrick"" (The Patrick Star Show)']","['Wrestler', 'Roadie', 'Demolition driver']","Bikini Bottom, Pacific Ocean",Male,Teal,Black,Tom Kenny,,Fish,,,
Champ 2,https://spongebob.fandom.com/wiki/Champ_2,"""Krusty Krushers""","['""Say Awww!"" (SpongeBob SquarePants)', '""Big Baby Patrick"" (The Patrick Star Show)']","['Wrestler', 'Roadie', 'Model for the Wrestling for Beginners Book', 'Demolition driver', 'Pizza man']","Bikini Bottom, Pacific Ocean",Male,Purple,Black,"['Clancy Brown (""Krusty Krushers"")', 'Bill Fagerbakke (""X Marks the Pot"" Pizza Thug 1)', 'Tom Kenny (""X Marks the Pot"" Pizza Thug 2)']",,Fish,,,
Iron buns,https://spongebob.fandom.com/wiki/Iron_buns,,,,,,,,,"""Krusty Krushers""",,,,
Mr. Fluffy,https://spongebob.fandom.com/wiki/Mr._Fluffy,,,,,,,,,"""Krusty Krushers""",,,,
Robber,https://spongebob.fandom.com/wiki/Robber,"""The Card""","""The Commode Episode""",Robber,"Bikini Bottom, Pacific Ocean",Male,Light orange,Light yellow with black pupils,"['Tom Kenny (""The Card"" and ""Mermaid Man Begins"")', 'Rodger Bumpass (""Insecurity Guards"")', 'Tom Wilson (""The Commode Episode"")']",,Fish,,,
Quincy,https://spongebob.fandom.com/wiki/Quincy,"""The Card""","""The Getaway""","['Teller', 'Bank owner', 'Hotel front desk']","Bikini Bottom, Pacific Ocean",Male,Light green/Purple,Black,Dee Bradley Baker,,Fish,,,
Chieftain,https://spongebob.fandom.com/wiki/Chieftain,,,,"Viking mountain, Pacific Ocean",Male,Aqua,Black,Dee Bradley Baker,"""Dear Vikings""",Fish,,,
Helga,https://spongebob.fandom.com/wiki/Helga,,,,"Viking mountain, Pacific Ocean",Female,Light blue,Blue,Sirena Irwin,"""Dear Vikings""",Fish,,,
Gordon,https://spongebob.fandom.com/wiki/Gordon,"""Dear Vikings""","""Is There a Director in the House?""",Captain of Vikings,,Male,Olive green,Black,"['Ian McShane (""Dear Vikings"")', 'Clancy Brown (""Captain Pipsqueak"")']",,Fish,,,
"""Viking"" incidentals",https://spongebob.fandom.com/wiki/Viking_Incidentals,"""Dear Vikings""","""Say Awww!"" (Viking 12)","['Vikings', 'Opera singer (Unknown ""Viking"" 3)', 'Garbage man (Viking 12)']","['Viking mountain, Pacific Ocean', 'Bikini Bottom (Vikings 6 and 12 and Unknown ""Viking"" 3)', 'Germany (Unknown ""Vikings"" 2 and 3)']",Male,Various,Black,"['Dee Bradley Baker', 'Rodger Bumpass', 'Clancy Brown', 'Tom Kenny', 'Gary Stockdale']",,Fish,,,
Olaf,https://spongebob.fandom.com/wiki/Viking_1,"""Dear Vikings""",Viking Hiking,Viking,"Mount Odin, Pacific Ocean",Male,Dark teal,Black,,,Fish,,,
Olaf,https://spongebob.fandom.com/wiki/Viking_2,,"""Is There a Director in the House?""",Viking,"Viking mountain, Pacific Ocean",Male,Lavender,Black,,"""Dear Vikings""",Fish,,,
Olaf,https://spongebob.fandom.com/wiki/Viking_3,,,Viking,"Viking mountain, Pacific Ocean",Male,Orange,Black,,"""Dear Vikings""",Fish,,,
Olaf,https://spongebob.fandom.com/wiki/Viking_5,"""Dear Vikings""","""Is There a Director in the House?""",Viking,"Mount Odin, Pacific Ocean",Male,Light gray,Black,,,Fish,,,
Olaf,https://spongebob.fandom.com/wiki/Viking_6,"""Dear Vikings""","""Say Awww!""","['Viking', 'Biker']","['Viking mountain, Pacific Ocean', 'Bikini Bottom']",Male,Light green,Black,,,Fish,,,
Olaf,https://spongebob.fandom.com/wiki/Viking_8,,,Viking,"Viking mountain, Pacific Ocean",Male,Olive green,Black,,"""Dear Vikings""",Fish,,,
Viking 9,https://spongebob.fandom.com/wiki/Viking_9,,,Viking,"Viking mountain, Pacific Ocean",Male,Dark blue,Black,,"""Dear Vikings""",Fish,,,
Viking 12,https://spongebob.fandom.com/wiki/Viking_12,"""Dear Vikings""","""Say Awww!""","['Trashman', 'Viking']","['Viking mountain, Pacific Ocean', 'Bikini Bottom']",Male,Purple,Black,Tom Kenny,,Fish,,,
Olaf,https://spongebob.fandom.com/wiki/Unknown_%22Viking%22_1,"""Dear Vikings""",Sockengarten Saga,Viking,"Mount Odin, Pacific Ocean",Male,Teal,Black,,,Fish,,,
Olaf,https://spongebob.fandom.com/wiki/Unknown_%22Viking%22_2,"""Dear Vikings""","""Treats!""",Viking,"['Mount Odin, Pacific Ocean', 'Germany']",Male,Purple,Black,,,Fish,,,
Olaf,https://spongebob.fandom.com/wiki/Unknown_%22Viking%22_3,"""Dear Vikings""","""Treats!""","['Viking', 'Opera singer']","['Mount Odin, Pacific Ocean', 'Bikini Bottom', 'Germany']",Male,Light blue,Black,"Gary Stockdale (""Squidward's School for Grown-Ups"")",,Fish,,,
Mr. Mailman,https://spongebob.fandom.com/wiki/Policeman_2,"""Something Smells""","['""The Dirty Bubble Bass"" (Policeman 2) (SpongeBob SquarePants)', '""Pick Patrick\'s Path"" (The Patrick Star Show)']","['Mailman', 'Usher', 'Bus driver', 'Police officer (Policeman 2)', 'Prison guard (Guard 1)', 'Security guard (Guard 1)', 'Subway driver', 'Bikini Bottom Sanitation Police officer (Policeman 2)', ""Member of the 'We Hate SpongeBob Club'"", 'Student']","['Bikini Bottom, Pacific Ocean', 'Binary Bottom (holographic variant)']",Male,Light tan,Black,"['Doug Lawrence (""Procrastination,"" ""Krabby Road,"" ""Walking the Plankton,"" and ""One Trick Sponge"")', 'Bill Fagerbakke (""The Great Snail Race"" and ""Sentimental Sponge"")', 'Clancy Brown (""Pat the Horse"")', 'Mary Jo Catlett (""Girls\' Night Out,"" simulation portrayed by Mrs. Puff)']",,Fish,,,
Octopus quintuplets,https://spongebob.fandom.com/wiki/Octopus_quintuplets,"""Sailor Mouth""","""Ride Patrick Ride""",,"Bikini Bottom, Pacific Ocean",Male and female,Pink and purple,Black,"['Tom Kenny', 'Bill Fagerbakke', 'Sirena Irwin']",,Octopus,,Mom octopus,
Redbeard Krabs,https://spongebob.fandom.com/wiki/Redbeard_Krabs,"""Grandpappy the Pirate""","""Senior Discount""",Pirate,,Male,"['Scarlet Red (""Grandpappy the Pirate"")', 'Pink (""Senior Discount"")']",Black,"['Dennis Quaid (""Grandpappy the Pirate"")', 'Clancy Brown (""Senior Discount"")']",,"['Crab', 'Part whale (revealed in ""Dunces and Dragons"")']",Grandma Krabs (wife),Great Grandpa Krabs (father),Krabs Senior (son)
Kraken,https://spongebob.fandom.com/wiki/Kraken_(Grandpappy_the_Pirate),,,,,,Green,Yellow,Dee Bradley Baker,"""Grandpappy the Pirate""",Octopus,,,
Cephalopod Lodge members,https://spongebob.fandom.com/wiki/Cephalopod_Lodge_members,"""Cephalopod Lodge""","""Smoothe Jazz at Bikini Bottom""",,"Bikini Bottom, Pacific Ocean",Males,,,,,Squids/Octopuses,,,
Leader,https://spongebob.fandom.com/wiki/Leader,,,Leader of the Cephalopod Lodge,"Bikini Bottom, Pacific Ocean",Male,Dark turquoise and light blue,Dark red with dark red pupils,Dee Bradley Baker,"""Cephalopod Lodge""",Octopus,,,
Cantankerous Moray Eelius,https://spongebob.fandom.com/wiki/Cantankerous_Moray_Eelius,"""Cephalopod Lodge""","""Who R Zoo?""",,"['Bikini Bottom Zoo, Bikini Bottom, Pacific Ocean', 'Cephalopod Lodge']",Male,"['Teal and light yellow (""Cephalopod Lodge"")', 'Light green (""Who R Zoo?"")']","['Dark blue (""Cephalopod Lodge"")', 'Black (""Who R Zoo?"")']",Dee Bradley Baker,,Moray Eel,,,
Incidental 85,https://spongebob.fandom.com/wiki/Incidental_85,"""Mermaid Man and Barnacle Boy""","['""Sir Urchin and Snail Fail"" (SpongeBob SquarePants)', '""Chum Bucket List"" (The Patrick Star Show)']","['Dullsville Senior Living receptionist', 'Battle re-enactor', 'Blue soldier']","['Shady Shoals Rest Home, Bikini Bottom, Pacific Ocean', 'Dullsville Senior Living, Dullsville', 'Pappy Farms', 'Rusty Krab (formerly)', 'Cemetery (Incidental 85Zombie)']",Male,Light orange,Black,"['Doug Lawrence', 'Dee Bradley Baker (""Picture Day"" and  ""Earworm"")', 'Tom Kenny (""The Bully"")']",,Fish,,,
Commissioner,https://spongebob.fandom.com/wiki/Commissioner,,,Commissioner,"Bikini Bottom, Pacific Ocean",Male,Aquamarine,Light yellow with black pupils,Tom Kenny,"""What's Eating Patrick?""",Fish,,,
Music School Matron,https://spongebob.fandom.com/wiki/Music_School_Matron,"""Professor Squidward""","""Upturn Girls""",Bikini Bottom Prestigious Music College head matron,"Bikini Bottom, Pacific Ocean",Female,Lavender,,Sirena Irwin,,Fish,,,
Incidental 118A,https://spongebob.fandom.com/wiki/Incidental_118A,"""Professor Squidward"" (as cop mustache)","['""Friendiversary"" (SpongeBob SquarePants)', '""Tying the Klop-Knot"" (The Patrick Star Show)']",Police officer,"Bikini Bottom, Pacific Ocean",Male,Dark orange,Black,"['Clancy Brown', 'Dee Bradley Baker', 'Tom Kenny']",,Fish,,,
Spotted glistening meadow worms,https://spongebob.fandom.com/wiki/Spotted_glistening_meadow_worm,"""Pet or Pests""","""In the Mood to Feud""",,,,,,,,,,,
Mrs. Wormsley,https://spongebob.fandom.com/wiki/Mrs._Wormsley,"""Pet or Pests""","""In the Mood to Feud""",,"124 Conch Street, Bikini Bottom, Pacific Ocean (formerly)",Female,Pink and light red,Light yellow with black pupils,,,Spotted glistening meadow worm,,,Five unnamed baby worms
King Neptune's mother,https://spongebob.fandom.com/wiki/King_Neptune%27s_mother,,,,"Her castle, just outside of Bikini Bottom, Pacific Ocean",Female,Purple,Black,,"""The Story of King Neptune""",Mermaid,Unnamed,,"['King Neptune (son)', 'Unnamed daughter']"
T119-A Compumatic,https://spongebob.fandom.com/wiki/T-119A_Compumatic,"""Komputer Overload""",SpongeBob Moves In!,,,,,,Tom Kenny,,Computer,,Sheldon J. Plankton (creator),
Noxious Enterprise's Super SPU-31 Liquid-Cooled Mobile Processing Unit,https://spongebob.fandom.com/wiki/Noxious_Enterprise%27s_Super_SPU-31_Liquid-Cooled_Mobile_Processing_Unit,,,,"Chum Bucket, Bikini Bottom, Pacific Ocean",,Light blue and light tan,,,"""Komputer Overload""",Computer,,Sheldon J. Plankton (creator),
Command Module,https://spongebob.fandom.com/wiki/Command_Module,,,,,,,,,"""Komputer Overload""",,,,
Bakery fish,https://spongebob.fandom.com/wiki/Bakery_fish,"""Overbooked""","""Biddy Sitting""",Bikini Bottom Bakery cashier,"Bikini Bottom, Pacific Ocean",Female,Light green with olive green spots,Black,Carolyn Lawrence,,Fish,,,
SpongeBob SquarePants clones,https://spongebob.fandom.com/wiki/SpongeBob_SquarePants_clones,"""Overbooked""","""CopyBob DittoPants""",Plankton's minions (prior to fading),"Chum Bucket, Bikini Bottom, Pacific Ocean (formerly)",Males,Light yellow (with light olive-green holes),Light blue,Tom Kenny,,Sponge (clone),,"['Sandy Cheeks (creator of the Overbooked clones)', 'Sheldon J. Plankton (creator of Spongecopies)', 'Karen Plankton (maternal figure)']",
Boy fish,https://spongebob.fandom.com/wiki/Boy_fish,"""No Hat for Pat""","""The Goobfather""",,"Bikini Bottom, Pacific Ocean",Male,Orange,Beige sclera with black pupils,Dee Bradley Baker,,Fish,,Dad fish,
Krabs family,https://spongebob.fandom.com/wiki/Grandma_Krabs,"""Help Wanted""",,,,,,,,,,,,
Dad fish,https://spongebob.fandom.com/wiki/Dad_fish,"""Toy Store of Doom""",Postal Panic,Unknown,"Bikini Bottom, Pacific Ocean",Male,Dark yellow,Black,Bill Fagerbakke,,Fish,,,"['Boy fish', 'Unnamed son']"
Sand gargoyles,https://spongebob.fandom.com/wiki/Sand_gargoyles,,,,"SpongeBob's sand castle, Goo Lagoon, Bikini Bottom, Pacific Ocean",Male,,,Tom Kenny,"""Sand Castles in the Sand""",Sand,,,
Sand knight,https://spongebob.fandom.com/wiki/Sand_knights,"""Sand Castles in the Sand""",Sand Castle Hassle,Sand knight,"Goo Lagoon, Bikini Bottom, Pacific Ocean",Male,Yellow,,,,Sand,,"['Patrick Star (""Sand Castles in the Sand"")', 'SpongeBob SquarePants (Sand Castle Hassle)']",
Sand army,https://spongebob.fandom.com/wiki/Sand_army,,,Sand army,"Goo Lagoon, Bikini Bottom, Pacific Ocean",Male,Yellow,,,"""Sand Castles in the Sand""",Sand,,,
Sand general,https://spongebob.fandom.com/wiki/Sand_general,,,General,"SpongeBob's sand castle, Goo Lagoon, Bikini Bottom, Pacific Ocean",Male,,,,"""Sand Castles in the Sand""",Sand,,,
Sea snail,https://spongebob.fandom.com/wiki/Sea_snail,,,,,,,,,,,,,
Mini Brain Patricks,https://spongebob.fandom.com/wiki/Mini_Brain_Patricks,"""Chum Bucket Supreme""","""The Fun Bucket""",Figuring out words in the language lobes,Department of Thoughts (AKA Patrick's brain),Male,Coral pink,Black,Bill Fagerbakke,,Starfish,,,
Patrick's forehead,https://spongebob.fandom.com/wiki/Patrick%27s_forehead,"""Chum Bucket Supreme""",You're Fired!,,Patrick's head,Male,Coral pink,Black,Bill Fagerbakke,,"['Forehead (""Chum Bucket Supreme"")', 'Mutated growth (""SpongeBob You\'re Fired"")']",,,
Chum Bucket,https://spongebob.fandom.com/wiki/Chum_Bucket,"""Plankton!""",,,,,,,,,,,,
E.M.I.L.P.,https://spongebob.fandom.com/wiki/E.M.I.L.P.,"""The Algae's Always Greener"" (mentioned)","""Plankton's Intern"" (mentioned)",,,Female,Black,Light green,Jill Talley,,Computer,Fredrick (husband),Chip I (father-in-law),Karen Plankton (daughter)
Ricky Gervais,https://spongebob.fandom.com/wiki/Ricky_Gervais,,,,,Male,,,,,,,,
Party Pooper Pants,https://spongebob.fandom.com/wiki/Party_Pooper_Pants,,,,,,,,,,,,,
The Sponge Who Could Fly,https://spongebob.fandom.com/wiki/The_Sponge_Who_Could_Fly,,,,,,,,,,,,,
Tyrannosaurus Rex,https://spongebob.fandom.com/wiki/Tyrannosaurus_Rex,"""Ugh""","""Truth or Square""",,,Male,Dark green and light olive green,Black,,,Tyrannosaurus Rex,,,
Security guard,https://spongebob.fandom.com/wiki/Security_guard_(Truth_or_Square),,,Security guard at Nickelodeon Animation Studio,,Male,,Blue,Rodger Bumpass,"""Truth or Square""",Human,,,
Johnny Depp,https://spongebob.fandom.com/wiki/Johnny_Depp,,,,,Male,,,,,,,,
Incidental CM24,https://spongebob.fandom.com/wiki/Incidental_CM24,"""Sing a Song of Patrick""","""Mind the Gap""",Band manager,"Bikini Bottom, Pacific Ocean",Male,Light olive-green and purple,Yellow with black pupils,Bill Fagerbakke,,Fish,,,
Barg'N-Mart,https://spongebob.fandom.com/wiki/Barg%27N-Mart,"""Help Wanted""",SpongeBob Simulator,,,,,,,,,,,
The Guy on the Penny,https://spongebob.fandom.com/wiki/The_Guy_on_the_Penny,"""Truth or Square""","""SpongeBob Appreciation Day: Patchy's Beach Bash!""",,,Male,White,,"['Dave Allen (Truth or Square)', 'Rob Riggle (""SpongeBob Appreciation Day: Patchy’s Beach Bash!"")']",,Human,,,
P!nk,https://spongebob.fandom.com/wiki/P!nk,,,,,Female,,,,,,,,
Live-action whale,https://spongebob.fandom.com/wiki/Live-action_whale,,,,,,Gray and white,Black,Rob Saunders,"""Truth or Square""",Sperm whale,,,
Not SpongeBob,https://spongebob.fandom.com/wiki/Not_SpongeBob,,,Fry cook (formerly),"Bikini Bottom, Pacific Ocean",Male,"Dark green with light olive green limbs and lips, and a dark orange dorsal fin",Light yellow,,"""Truth or Square""",Fish,,,
Unnamed band,https://spongebob.fandom.com/wiki/Unnamed_band,"""Sing a Song of Patrick""",,Musicians,"Bikini Bottom, Pacific Ocean",Males,Various,Black,"['Tom Kenny (keyboardist)', 'Mark Fite (Incidental CM23)', 'Carlos Alazraqui (Incidental CM13)']",,Fish,,,
Judge 3,https://spongebob.fandom.com/wiki/Brad_Ted,"""Slimy Dancing""","""The Yard Sale""","['Dance judge', 'Actor', 'Advertiser for Pappy Farms']","['Bikini Bottom, Pacific Ocean', 'New Kelp City']",Male,Pale green,Black,"['Rodger Bumpass (""Slimy Dancing"")', 'Tom Kenny']",,Fish,,,
Wedding official,https://spongebob.fandom.com/wiki/Wedding_official,,,Theater actor,"Bikini Bottom, Pacific Ocean",Male,Orange,Black,,Good Times!,Fish,,,
Rubber Hose Rag,https://spongebob.fandom.com/wiki/Rubber_Hose_Rag,,,,,,,,,,,,,
Cave dwellers,https://spongebob.fandom.com/wiki/Cave_dwellers,"""Chum Caverns""","""Ride Patrick Ride""","['Chum Bucket employees', 'Krusty Krab employees']",,,Light orange,Black,Dee Bradley Baker,,Cave dwellers,,,
Chum Caverns,https://spongebob.fandom.com/wiki/Chum_Caverns_(location),"""Chum Caverns""",Bikini Bottom Brawlers,,,,,,,,,,,
Queen Amphitrite,https://spongebob.fandom.com/wiki/Queen_Amphitrite,"""The Clash of Triton""","""Scaredy Squirrel"" (cameo)",Queen,"Her castle, just outside of Bikini Bottom",Female,Light blue,Black,Victoria Beckham,,Goddess/Mermaid,King Neptune (husband),,"['Princess Mindy (daughter)', 'Triton (son)']"
Zeus,https://spongebob.fandom.com/wiki/Zeus_the_Guitar_Lord,"""Tentacle-Vision""","""Squidiot Box""",Guitarist,"Bikini Bottom, Pacific Ocean",Male,Light blue,Black,Dee Bradley Baker,,Fish,,Unnamed mother (mentioned),
TV producer,https://spongebob.fandom.com/wiki/TV_producer,"""Tentacle-Vision""","""Sharks vs. Pods""",Manager/Producer at Bikini Bottom Public Access,"Bikini Bottom, Pacific Ocean",Male,Light blue and dark teal,Black,"['Bill Fagerbakke (""Tentacle-Vision"")', 'Tom Kenny (""Sharks vs. Pods"")']",,Fish,,,
Moat fish,https://spongebob.fandom.com/wiki/Moat_fish,"""Sandy, SpongeBob, and the Worm""","""I ♥ Dancing""",,"Bikini Bottom, Pacific Ocean",Male,Unknown,Unknown,Carlos Alazraqui,,Fish,,,
Agent fish,https://spongebob.fandom.com/wiki/Agent_fish,"""I ♥ Dancing""","""Upturn Girls""","['Dance executive', 'Dance judge']","Bikini Bottom, Pacific Ocean",Female,Light cyan,Black,Sirena Irwin,,Fish,,,
Twin sisters,https://spongebob.fandom.com/wiki/Twin_sisters,"""I ♥ Dancing""","""Yellow Pavement""",Students,"Bikini Bottom, Pacific Ocean",Female,Light purple and light teal,Black,Jill Talley,,Fish,,,
Leftover,https://spongebob.fandom.com/wiki/Leftover,,,,Mr. Krabs' cupboard,Male,Pale yellow,Black,Rodger Bumpass,"""Growth Spout""",Food,,,
Chopped liver,https://spongebob.fandom.com/wiki/Chopped_liver,,,,Mr. Krabs' cupboard,Male,Light purple,Black,Tom Kenny,"""Growth Spout""",Jar/Food,,,
Peanut worms,https://spongebob.fandom.com/wiki/Peanut_worms,"""Growth Spout""","""Pet the Rock""",,"Mrs. Puff's house, Bikini Bottom, Pacific Ocean",Male and Female,Light tan and dark tan,Black,,,Peanut worms,,,
SpongeBob's heart,https://spongebob.fandom.com/wiki/SpongeBob%27s_heart,"""Squid on Strike""","""Night of the Living Stench""",Pumping blood throughout SpongeBob's body,SpongeBob's chest,,Pink,Black,Tom Kenny,,Heart,,,
Catfish,https://spongebob.fandom.com/wiki/Catfish,"""Code Yellow""","""House Hunting""",,,Male,Dark green,Black,"['Doug Lawrence (""Code Yellow"")', 'Dee Bradley Baker (""To Dad and Back"")', 'Rodger Bumpass (""House Hunting"")']",,Catfish,,,
Health inspector,https://spongebob.fandom.com/wiki/Health_inspector_(Greasy_Buffoons),"""Greasy Buffoons""","""Kwarantined Krab""",Health inspector,"Bikini Bottom, Pacific Ocean",Male,,,Bill Fagerbakke,,,,,
Mr. Krabs' pet scallop,https://spongebob.fandom.com/wiki/Mr._Krabs%27_pet_scallop,,,,"Krusty Krab, Bikini Bottom, Pacific Ocean (formerly)",Male,Light purple,,,"""Model Sponge""",Scallop,,,
Balding guy,https://spongebob.fandom.com/wiki/Balding_guy,"""Picture Day""","""Squidward in Clarinetland""","['Photographer (""Picture Day"")', 'Director (""Model Sponge"")']","Bikini Bottom, Pacific Ocean",Male,Olive green,Black,"['Bill Fagerbakke (""Picture Day"")', 'Dee Bradley Baker (""Model Sponge"")', 'Tom Kenny (""Squidward in Clarinetland"")']",,Fish,,,
Fresh and Natural Sponge,https://spongebob.fandom.com/wiki/Fresh_and_Natural_Sponge,"""Model Sponge""",SpongeBob Simulator,,,Male,Green,Black,,,Sponge,,,
Bikini Bottom Television,https://spongebob.fandom.com/wiki/Bikini_Bottom_Television,,,,,,,,,"""Model Sponge""",,,,
Casting director,https://spongebob.fandom.com/wiki/Casting_director,"""Model Sponge""","""Chatterbox Gary""",Casting director at the Bikini Bottom Television Station,"Bikini Bottom, Pacific Ocean",Female,Light salmon-pink,Black,Sirena Irwin,,Fish,,,
Burly woman,https://spongebob.fandom.com/wiki/Burly_woman,"""Keep Bikini Bottom Beautiful""","""Say Awww!""",,"Bikini Bottom, Pacific Ocean",Female,Purple,Black,Jill Talley,,Fish,,,
Fortune teller,https://spongebob.fandom.com/wiki/Fortune_teller,"""A Pal for Gary""","""Mooned!""",Seller,"Bikini Bottom, Pacific Ocean",Female,Light purple,Light yellow and light green,"['Sirena Irwin (""A Pal for Gary"")', 'Jill Talley (""Mooned!"")']",,Fish,,,
Mr. Doodles,https://spongebob.fandom.com/wiki/Incidental_72,"""Sandy's Rocket"" (as Mr. Krab's worm)","['""Arbor Day Disarray"" (SpongeBob SquarePants)', '""The Patrick Show After Dark"" (The Patrick Star Show)']",,"[""Mr. Krabs and Pearl's house, Bikini Bottom, Pacific Ocean"", 'Animal shelter']",Male,Dark green,Light yellow-green with black irises/pupils,"['Dee Bradley Baker', 'Tom Kenny']",,Worm,,,
"""Puffy Fluff"" incidentals",https://spongebob.fandom.com/wiki/%22Puffy_Fluff%22_incidentals,"""A Pal for Gary""","""Pet the Rock""",,"['Bikini Bottom, Pacific Ocean, Puffy Fluff stand', ""SpongeBob SquarePants' house (briefly) (Puffy Fluffy)"", 'Animal shelter (Puffy Fluff 2)']",Male,Various,Purple,,,Puffy Fluffies,,,
Puffy Fluff 1,https://spongebob.fandom.com/wiki/Puffy_Fluff_1,,,,"Bikini Bottom, Pacific Ocean, Puffy Fluff stand",Male,Cyan,Purple,,"""A Pal for Gary""",Puffy Fluff,,,
Puffy Fluff 2,https://spongebob.fandom.com/wiki/Puffy_Fluff_2,"""A Pal for Gary""","""Pet the Rock""",,"['Bikini Bottom, Pacific Ocean, Puffy Fluff stand', 'Animal shelter']",Male,Lavender,Purple,,,Puffy Fluff,,,
Puffy Fluffy,https://spongebob.fandom.com/wiki/Puffy_Fluffy,"""A Pal for Gary""",SpongeBob Simulator,,"['Bikini Bottom, Pacific Ocean, Puffy Fluff stand', ""SpongeBob SquarePants' house (briefly)""]",Male,Pale green,Purple,Dee Bradley Baker,,Puffy Fluff,,,
League of Cheapskate Crabs,https://spongebob.fandom.com/wiki/League_of_Cheapskate_Crabs,,,Give out The Cheapest Crab Awards annually,,,,,,"""Kracked Krabs""",Crabs,,,
Penny Pinchers,https://spongebob.fandom.com/wiki/Penny_Pinchers,,,,"Bikini Bottom, Pacific Ocean",Male,Various shades of red,Black,Dee Bradley Baker (host),"""Kracked Krabs""",Crabs,,,
Beuford BargainBottom,https://spongebob.fandom.com/wiki/Beuford_BargainBottom,,,Convenience Store owner,"Bikini Bottom, Pacific Ocean",Male,Pale red,Light green with black pupils,Tom Kenny,"""Kracked Krabs""",Crab,,,
